# x y ex ey
1 -nan 0 -nan
3 4900.82 0 70.2704
5 4314.16 0 65.9208
7 4217 0 65.2096
9 4250.7 0 65.4264
11 4337.39 0 66.0678
13 4310.52 0 65.8421
15 4238.33 0 65.2437
17 4201.82 0 64.9981
19 2227.01 0 47.3403
21 233.404 0 15.3237
23 213.81 0 14.6845
25 193.278 0 13.9486
27 190.297 0 13.8421
29 204.747 0 14.3351
31 202.948 0 14.2794
33 164.817 0 12.8701
35 170.462 0 13.0738
37 149.189 0 12.222
39 109.439 0 10.4823
41 46.2027 0 6.81222
43 9.0488 0 3.01627
45 14.1444 0 3.78025
47 7.02854 0 2.65654
49 15.0504 0 3.88599
51 7.03433 0 2.65873
53 11.0619 0 3.3353
55 17.0835 0 4.14335
57 13.0477 0 3.61878
59 8.04503 0 2.84435
61 8.05499 0 2.84787
63 5.02452 0 2.24703
