# x y ex ey
1 3827.29 0 62.095
3 3868.72 0 62.3987
5 3671.47 0 60.7873
7 3844.66 0 62.2296
9 3792.21 0 61.7457
11 3680.43 0 60.8772
13 3782.07 0 61.6787
15 3710.48 0 61.1572
17 3729.72 0 61.2748
19 3517.62 0 59.5437
21 2651.7 0 51.5014
23 1196.16 0 34.6894
25 616.671 0 24.8464
27 192.92 0 13.9228
29 151.705 0 12.3456
31 164.817 0 12.8701
33 169.738 0 13.0568
35 162.807 0 12.7913
37 158.803 0 12.6337
39 162.273 0 12.7494
41 164.329 0 12.9109
43 173.617 0 13.1619
45 152.772 0 12.3915
47 119.64 0 10.9673
49 127.386 0 11.3484
51 123.661 0 11.1502
53 103.585 0 10.2065
55 82.4222 0 9.10201
57 100.464 0 10.0464
