# x y ex ey
48 0 0 0
48.5 2.01125 0 1.42217
49 9382.71 0 97.2889
49.5 16099.6 0 127.666
50 22749.8 0 151.987
50.5 29856.7 0 174.529
51 36596.2 0 193.536
51.5 43584.5 0 211.428
52 50476.7 0 228.044
52.5 58467.4 0 245.998
53 66088.2 0 261.982
53.5 75357.8 0 280.596
54 86156.1 0 300.652
54.5 98787.7 0 322.911
55 112797 0 345.896
55.5 131636 0 375.387
56 153386 0 406.941
56.5 181231 0 447.146
57 214343 0 488.366
