# x y ex ey
1 5797.07 0 76.7639
1 8473.85 0 92.4408
1 3563.96 0 59.8922
3 3572.76 0 59.9724
3 8545.08 0 92.8922
3 5780.17 0 76.3196
5 3547.36 0 59.7738
5 8637.9 0 93.4168
5 5827.05 0 76.6451
7 3492.67 0 59.1978
7 5672.73 0 75.5894
7 8710.96 0 93.7693
9 5589.33 0 75.0533
9 3590.55 0 60.1186
9 8678.99 0 93.577
11 5878.61 0 76.9449
11 8598.31 0 93.1632
11 3549.84 0 59.7732
13 5826.84 0 76.4904
13 3172.53 0 56.4904
13 8443.65 0 92.1332
15 1267.33 0 35.6888
15 5868.12 0 76.8011
15 8625.43 0 93.4405
17 8544.32 0 92.8786
17 5721.06 0 75.9507
17 167.815 0 12.9859
19 157.798 0 12.5937
19 8673.92 0 93.5496
19 5834.29 0 76.907
21 8661.88 0 93.4796
21 153.509 0 12.4105
21 5863.25 0 76.8559
23 8531.54 0 92.7944
23 3436.93 0 58.8132
23 154.751 0 12.4702
25 782.882 0 28.0497
25 8480.26 0 92.4997
25 164.625 0 12.8945
27 8398.92 0 91.9964
27 170.497 0 13.0765
27 405.224 0 20.1856
29 131.949 0 11.5285
29 8460.55 0 92.3727
29 479.453 0 21.9526
31 464.42 0 21.6068
31 7729.64 0 88.2537
31 136.423 0 11.6982
33 123.978 0 11.1335
33 466.191 0 21.6424
33 4734.73 0 69.0558
35 2325.03 0 48.3646
35 430.234 0 20.7962
35 91.3655 0 9.57771
37 48.2612 0 6.96591
37 405.099 0 20.1794
37 1145 0 33.9269
39 394.76 0 19.913
39 1016.76 0 32.0091
39 9.01077 0 3.00359
41 7.03868 0 2.66037
41 415.623 0 20.4515
41 1003.66 0 31.8663
43 14.0658 0 3.75925
43 399.546 0 20.1288
43 958.189 0 31.0714
45 995.533 0 31.6241
45 9.04322 0 3.01441
45 346.864 0 18.6475
47 456.348 0 21.3939
47 6.03439 0 2.46353
47 902.081 0 30.1196
49 382.96 0 19.6973
49 7.02565 0 2.65545
49 1012.31 0 31.8847
51 6.02075 0 2.45796
51 964.118 0 31.0683
51 395.289 0 19.9397
53 361.718 0 19.0642
53 980.558 0 31.3869
53 6.02384 0 2.45922
