# x y ex ey
1 32885.1 0 183.256
3 33634.9 0 185.444
5 33401 0 184.683
7 33287 0 184.419
9 33267.8 0 184.299
11 27274.1 0 166.609
13 4779.84 0 69.3313
15 2345.94 0 48.5794
17 1342.48 0 36.7287
19 1049.96 0 32.511
21 757.366 0 27.6
23 740.002 0 27.314
25 683.707 0 26.219
27 516.706 0 22.7909
29 214.045 0 14.6661
31 73.3755 0 8.58796
33 62.1714 0 7.89578
35 50.7529 0 7.17754
37 34.1778 0 5.86144
39 26.1143 0 5.12144
41 18.0772 0 4.26084
43 13.0692 0 3.62474
45 3.01409 0 1.74018
47 7.0365 0 2.65955
49 1.00542 0 1.00542
51 1.00356 0 1.00356
53 0 0 0
55 0 0 0
57 0 0 0
