# x y ex ey
1 20727.4 0 145.121
3 20453.1 0 144.125
5 20343.7 0 143.661
7 20343.2 0 143.726
9 20371.8 0 143.924
11 20329 0 143.69
13 20647 0 144.814
15 20345.4 0 143.044
17 20587 0 144.564
19 19900.2 0 142.152
21 12546.3 0 112.642
23 2193.51 0 47.0771
25 1356.58 0 37.0452
27 1186.91 0 34.523
29 1145.77 0 33.9348
31 1204.22 0 34.792
33 1158.93 0 33.9689
35 1130.5 0 33.7199
37 1172.12 0 34.3407
39 1084.65 0 33.0202
41 1092.14 0 33.1409
43 1099.61 0 33.2302
45 1117.7 0 33.5025
47 920.344 0 30.409
49 768.254 0 27.7763
51 602.56 0 24.7026
53 503.634 0 22.5007
