# x y ex ey
1 -nan 0 -nan
3 8840.13 0 94.4942
5 4183.37 0 64.9151
7 4379.33 0 66.4145
9 3957.44 0 63.0953
11 4048.05 0 63.838
13 3964.35 0 63.1895
15 4178.77 0 64.8592
17 4781.27 0 69.3666
19 3188.01 0 56.6137
21 336.525 0 18.3863
23 198.704 0 14.1213
25 181.978 0 13.5264
27 174.886 0 13.2581
29 164.766 0 12.8661
31 218.065 0 14.8032
33 162.874 0 12.7966
35 163.509 0 12.807
37 145.525 0 12.1271
39 134.721 0 11.6381
41 51.0359 0 7.14646
43 16.0885 0 4.02212
45 10.0522 0 3.17877
47 15.0736 0 3.89199
49 7.02999 0 2.65709
51 10.0511 0 3.17845
53 6.02322 0 2.45897
55 12.1602 0 3.51036
57 8.0351 0 2.84084
59 11.0494 0 3.33153
61 8.0351 0 2.84084
63 2.00588 0 1.41837
