# x y ex ey
1 147585 0 399.125
3 4233 0 65.3166
5 4267.11 0 65.5393
7 4309.88 0 65.9016
9 4306.73 0 65.8842
11 4275.55 0 65.638
13 4277.96 0 65.5823
15 4222.98 0 65.1619
17 4137.25 0 64.5422
19 3855.64 0 62.2769
21 1495.17 0 38.7865
23 192.093 0 13.8994
25 191.915 0 13.8865
27 208.505 0 14.4572
29 181.866 0 13.518
31 174.419 0 13.2227
33 164.377 0 12.8357
35 183.762 0 13.5841
37 190.042 0 13.8235
39 184.691 0 13.6156
41 150.607 0 12.297
43 107.386 0 10.3814
45 52.224 0 7.24216
47 25.128 0 5.0256
49 9.04694 0 3.01565
51 12.0452 0 3.47716
53 11.0608 0 3.33496
55 8.0318 0 2.83967
57 11.054 0 3.3329
59 11.1088 0 3.34944
61 7.03505 0 2.659
63 13.045 0 3.61803
