# x y ex ey
1 136422 0 382.677
3 126355 0 367.324
5 79039.1 0 287.312
7 20713.9 0 144.991
9 17018.7 0 131.31
11 7678.3 0 88.1632
13 5980.14 0 77.5726
15 2896.7 0 53.9863
17 1356.22 0 36.9391
19 585.989 0 24.2277
21 409.162 0 20.2814
23 206.33 0 14.3757
25 121.6 0 11.0546
27 69.2123 0 8.33219
29 38.1477 0 6.18837
31 13.0584 0 3.62175
33 13.0611 0 3.6225
35 5.024 0 2.2468
37 3.01068 0 1.73822
39 2.99958 0 1.73181
41 0.999553 0 0.999553
43 2.00836 0 1.42012
45 0 0 0
47 0 0 0
49 0 0 0
51 0 0 0
53 0 0 0
55 0 0 0
