# x y ex ey
1 20640.6 0 144.769
3 20669.8 0 144.835
5 20625.7 0 144.679
7 20288.4 0 143.597
9 20593.6 0 144.625
11 20209.2 0 143.152
13 20252.8 0 143.109
15 20575.8 0 144.524
17 19639.9 0 141.123
19 10440.5 0 102.749
21 2204.94 0 47.0953
23 1973.56 0 44.5555
25 1847.57 0 43.0952
27 1799.94 0 42.5552
29 1719.5 0 41.582
31 1642.67 0 40.6249
33 1538.9 0 39.3298
35 1414.78 0 37.7442
37 1358.51 0 36.9057
39 1160.53 0 34.1037
41 690.995 0 26.5767
43 248.139 0 15.7887
45 195.935 0 14.0312
47 193.825 0 13.9518
49 185.09 0 13.645
51 156.809 0 12.5548
53 177.755 0 13.3609
55 159.104 0 12.6178
