# x y ex ey
1 131422 0 373.339
3 131880 0 375.736
5 131222 0 374.528
7 130894 0 374.396
9 132005 0 375.907
11 132216 0 376.361
13 131636 0 376.142
15 131910 0 376.11
17 128460 0 370.078
19 62634.9 0 254.702
21 10299.7 0 101.992
23 8933.73 0 94.9269
25 7474.33 0 86.8053
27 7398.69 0 86.3588
29 7155.99 0 86.0296
31 7228.18 0 85.1967
33 7098.98 0 84.5897
35 6971.38 0 83.8406
37 6984.83 0 83.9174
39 6687.57 0 82.1442
41 6550.56 0 81.2622
43 5488.39 0 74.3783
45 3354.49 0 58.0696
47 2323.05 0 48.3864
49 1103.44 0 33.3154
51 706.331 0 26.6398
53 569.346 0 23.9314
55 544.468 0 23.3869
57 542.682 0 23.3533
