# x y ex ey
1 3.49309e+06 0 14795.4
3 3.11189e+06 0 27328.8
5 937714 0 1176.79
7 575031 0 862.814
9 357848 0 650.908
11 294887 0 583.236
13 151334 0 404.453
15 76692.7 0 282.943
17 39453.4 0 202.028
19 23529.9 0 155.321
21 12526.8 0 113.037
23 6900.26 0 83.4146
25 3362.26 0 58.1518
27 4301.65 0 65.7911
29 2115.56 0 46.0777
31 1340.98 0 36.7289
33 658.787 0 25.6627
35 359.745 0 19.0131
37 159.907 0 12.6815
39 101.385 0 10.0882
41 46.1885 0 6.81012
43 44.2303 0 6.66796
45 19.1189 0 4.38617
47 8.06413 0 2.8511
49 4.02127 0 2.01063
51 3.00389 0 1.7343
53 0 0 0
55 3.01564 0 1.74108
57 0 0 0
