# x y ex ey
1 870722 0 1119.76
3 870259 0 1120.47
5 872585 0 1118.45
7 869784 0 1119.61
9 871621 0 1120.74
11 873020 0 1123.13
13 871863 0 1117.28
15 876228 0 1124.72
17 872922 0 1123.74
19 873157 0 1123.24
21 868630 0 1117.32
23 690998 0 965.992
25 444619 0 738.017
27 156264 0 411.502
29 107237 0 336.387
31 98828.3 0 322.765
33 89870.3 0 307.1
35 81519.4 0 291.869
37 78186.1 0 285.201
39 73117.1 0 276.059
41 71258.9 0 272.266
43 67588.7 0 265.009
45 65627.5 0 261.106
47 64488.1 0 258.638
49 62327.1 0 254.318
51 60587.2 0 250.418
53 58668.4 0 246.23
