# x y ex ey
1 393490 0 686.038
3 388614 0 682.899
5 386809 0 680.319
7 384627 0 678.122
9 363776 0 656.663
11 225360 0 501.824
13 167602 0 427.024
15 165059 0 423.654
17 163497 0 421.645
19 162077 0 420.604
21 162041 0 421.273
23 158927 0 415.121
25 131256 0 374.887
27 92516.9 0 311.931
29 87444 0 302.61
31 86768.2 0 301.437
33 86581.9 0 300.991
35 85907.8 0 300.062
37 85608.7 0 299.379
39 81577.2 0 292.082
41 66225 0 262.06
43 53685.6 0 235.099
45 51854.8 0 231.202
47 51669 0 230.872
49 51063 0 229.386
51 50699.4 0 228.161
53 50530.7 0 227.947
55 48734.5 0 224.048
57 42580.6 0 208.831
