# x y ex ey
1 164293 0 422.791
3 164059 0 422.381
5 164776 0 422.59
7 163014 0 420.866
9 162315 0 420.849
11 140962 0 389.126
13 88145.2 0 303.857
15 54746.6 0 237.156
17 53133.7 0 233.928
19 52886.1 0 233.489
21 52797.1 0 233.419
23 52317.7 0 232.234
25 44921.5 0 215.138
27 29118.1 0 172.263
29 22678 0 151.799
31 21486.3 0 147.312
33 21146.6 0 146.611
35 20969.9 0 146.111
37 20830.4 0 144.97
39 20731.3 0 145.053
41 20685.4 0 145.062
43 19839.2 0 141.626
45 16006.8 0 126.963
47 11332 0 107.058
49 9790.2 0 99.4352
51 9625.71 0 98.6176
53 9438.13 0 98.0165
55 9455.39 0 97.7069
