# x y ex ey
1 219315 0 494.324
3 219208 0 494.369
5 214574 0 488.907
7 161278 0 417.55
9 81692.9 0 292.418
11 77428.7 0 284.876
13 76592.4 0 282.606
15 76315.5 0 281.916
17 75348.7 0 280.204
19 72425.2 0 276.648
21 46848.7 0 219.243
23 35029.6 0 189.139
25 34210 0 186.962
27 33873.2 0 186.043
29 33976.5 0 186.274
31 33417.9 0 184.711
33 32695.7 0 182.606
35 28262.9 0 169.705
37 18593 0 137.331
39 16824.3 0 130.511
41 16683.9 0 129.974
43 16541 0 129.452
45 16319.4 0 128.555
47 15983.2 0 127.324
49 13411.3 0 116.744
51 9921.04 0 100.059
53 8845.42 0 94.5615
55 8715.35 0 93.822
57 8348.4 0 91.7794
