# x y ex ey
1 175225 0 437.664
3 174925 0 437.395
5 173744 0 435.55
7 51852.7 0 231.269
9 34885.5 0 188.578
11 31763 0 180.025
13 31588.1 0 179.53
15 24241.2 0 157.093
17 11362.3 0 107.158
19 8709.84 0 93.7247
21 7367.02 0 86.0184
23 7217.12 0 85.3634
25 6899.14 0 83.3949
27 6955.2 0 83.7429
29 5653.35 0 75.4249
31 2137.07 0 46.3377
33 1839.52 0 43.1903
35 1772.59 0 42.1329
37 1734.36 0 41.7463
39 1447.55 0 38.1594
41 867.159 0 29.5184
43 575.737 0 24.0518
45 492.219 0 22.2362
47 466.811 0 21.6479
49 443.9 0 21.0665
51 395.045 0 19.9274
53 294.146 0 17.1842
55 126.521 0 11.2714
57 137.525 0 11.7496
