# x y ex ey
1 20989.7 0 145.955
3 21549.4 0 147.81
5 21661.7 0 148.222
7 15920.2 0 127.065
9 4336.38 0 66.0601
11 3933.86 0 62.9196
13 4103.27 0 64.2629
15 3883.25 0 62.5031
17 1334.89 0 36.6171
19 1090.02 0 33.1224
21 922.355 0 30.4422
23 931.21 0 30.585
25 538.606 0 23.2642
27 276.244 0 16.6581
29 251.102 0 15.8811
31 224.003 0 15.0003
33 225.1 0 15.0401
35 156.809 0 12.5548
37 165.584 0 12.8907
39 88.3624 0 9.41947
41 61.2945 0 7.84796
43 64.3091 0 8.03864
45 76.4383 0 8.76807
47 57.2692 0 7.58549
49 17.1011 0 4.14761
51 23.0963 0 4.81592
