# x y ex ey
48 0 0 0
48.5 0 0 0
49 0 0 0
49.5 0 0 0
50 7.03144 0 2.65763
50.5 203.031 0 14.2852
51 3570.75 0 59.9554
51.5 12621.8 0 112.965
52 16964.2 0 131.131
52.5 20175 0 143.117
53 23182.1 0 153.527
53.5 26652.1 0 164.733
54 29611.3 0 173.8
54.5 32593.2 0 182.418
55 36394.1 0 192.932
55.5 39735.2 0 201.717
56 43407.2 0 211.076
56.5 47520.2 0 221.015
57 50838.6 0 228.81
57.5 55999.7 0 240.557
58 59769 0 248.787
58.5 64483.8 0 258.629
59 68987 0 267.758
59.5 74625.5 0 278.922
60 78695.8 0 286.679
