# x y ex ey
48 0 0 0
48.5 0 0 0
49 0 0 0
49.5 2.01104 0 1.42202
50 9.04694 0 3.01565
50.5 74.4957 0 8.65995
51 1953.63 0 44.3205
51.5 14119.1 0 119.559
52 24182 0 156.818
52.5 29197.8 0 172.484
53 33435.8 0 184.818
53.5 38521.7 0 198.677
54 42603.5 0 209.082
54.5 48175.7 0 222.592
55 53234.1 0 234.348
55.5 59107.7 0 247.291
56 63749.1 0 257.172
56.5 69946.3 0 269.689
57 76925.3 0 283.227
57.5 83842.4 0 296.073
58 90992.1 0 309.189
58.5 98161.6 0 321.656
59 107042 0 336.463
59.5 115350 0 349.408
60 123463 0 362.867
