# x y ex ey
1 16661.5 0 129.906
3 16440.2 0 129.047
5 16744.3 0 130.185
7 16470.9 0 129.188
9 16410.9 0 128.845
11 16556.1 0 129.725
13 16720.7 0 130.139
15 16033.5 0 127.434
17 11400.2 0 107.244
19 1271.39 0 35.7608
21 1034.66 0 32.192
23 969.833 0 31.3667
25 954.204 0 30.9748
27 1034.15 0 32.2386
29 1032.14 0 32.2073
31 1024.89 0 32.0906
33 970.107 0 31.2127
35 929.342 0 30.5731
37 918.901 0 30.3946
39 874.512 0 29.5978
41 871.289 0 29.5735
43 684.596 0 26.138
45 505.177 0 22.5247
47 434.769 0 20.8937
49 361.644 0 19.0603
51 273.539 0 16.5858
53 220.165 0 14.8774
55 189.925 0 13.815
57 147.625 0 12.1759
