# x y ex ey
1 9073.81 0 95.7208
3 9070.29 0 95.6677
5 9129.81 0 96.0023
7 9145.23 0 96.0688
9 8998.92 0 95.3134
11 9093.6 0 95.7911
13 9150.5 0 96.0818
15 8671.38 0 93.5985
17 4468.71 0 67.0868
19 636.501 0 25.2986
21 420.05 0 20.5453
23 443.029 0 21.1206
25 439.726 0 21.0591
27 410.887 0 20.3419
29 464.229 0 21.5979
31 437.407 0 20.9721
33 414.147 0 20.4036
35 404.563 0 20.1278
37 425.906 0 20.6838
39 375.633 0 19.4235
41 301.317 0 17.4256
43 81.3333 0 9.03703
45 34.1672 0 5.85963
47 40.2134 0 6.35829
49 34.1531 0 5.85722
51 34.1672 0 5.85963
53 28.0769 0 5.30604
55 23.1392 0 4.82485
57 34.1707 0 5.86023
