# x y ex ey
48 0 0 0
48.5 28.1434 0 5.3186
49 26251.9 0 163.45
49.5 46858.3 0 219.514
50 68614.7 0 266.969
50.5 91686.6 0 310.371
51 114602 0 348.819
51.5 139228 0 387.745
52 165706 0 424.81
52.5 191400 0 460.303
53 219468 0 494.462
53.5 249066 0 530.551
54 279326 0 565.478
54.5 311935 0 601.927
55 347165 0 639.04
55.5 386009 0 678.111
56 425705 0 717.254
56.5 490189 0 2569.15
57 -nan 0 -nan
