# x y ex ey
1 341733 0 634.069
3 343252 0 635.421
5 340357 0 632.279
7 256293 0 538.863
9 99047.7 0 323.273
11 71438.9 0 272.636
13 66779.1 0 263.365
15 65857 0 261.752
17 63761.2 0 257.25
19 44499.5 0 213.772
21 21321.7 0 147.012
23 16099.8 0 127.7
25 15873.1 0 126.44
27 15483.3 0 125.212
29 14437 0 120.863
31 7301.09 0 85.7588
33 5129.07 0 71.8848
35 4431.67 0 66.7492
37 4317.4 0 65.9625
39 4130.41 0 64.522
41 3953.6 0 63.0581
43 3085.04 0 55.6791
45 2063.55 0 45.5539
47 1356.25 0 36.9262
49 1225.34 0 35.0526
51 1209.65 0 34.847
53 1176.05 0 34.3382
