# x y ex ey
1 -nan 0 -nan
3 8654.55 0 93.4494
5 3806.54 0 61.9133
7 3938.91 0 62.9763
9 3795.25 0 61.7134
11 3849.71 0 62.0759
13 3864.45 0 62.3866
15 4018.85 0 63.6232
17 3941.35 0 62.783
19 2799.68 0 53.0323
21 344.54 0 18.5764
23 184.71 0 13.617
25 174.922 0 13.2608
27 181.773 0 13.5111
29 167.712 0 12.9779
31 169.703 0 13.0541
33 162.622 0 12.8164
35 182.739 0 13.5455
37 159 0 12.6493
39 120.595 0 11.0088
41 61.784 0 7.91063
43 11.0528 0 3.33255
45 16.125 0 4.03125
47 9.04043 0 3.01348
49 8.04255 0 2.84347
51 11.0585 0 3.33427
53 14.0977 0 3.76777
55 10.0449 0 3.17648
57 7.03144 0 2.65763
59 15.0535 0 3.88679
61 4.02168 0 2.01084
63 5.02297 0 2.24634
