# x y ex ey
1 741.461 0 27.2566
3 833.986 0 28.9481
5 790.652 0 28.2016
7 806.763 0 28.47
9 760.295 0 27.6334
11 753.876 0 27.491
13 780.149 0 27.9877
15 817.486 0 28.6705
17 805.415 0 28.458
19 827.785 0 28.8372
21 817.739 0 28.6794
23 776.828 0 27.8865
25 793.791 0 28.3497
27 689.671 0 26.3317
29 302.272 0 17.4227
31 84.4065 0 9.20951
33 48.1621 0 6.95159
35 46.2217 0 6.81502
37 55.2086 0 7.44432
39 44.2439 0 6.67002
41 54.2103 0 7.37709
43 57.7505 0 7.64924
45 54.2326 0 7.38013
47 53.2941 0 7.3205
49 53.2173 0 7.30996
51 56.2355 0 7.51479
53 59.2909 0 7.71902
55 55.0163 0 7.4184
57 52.2616 0 7.24738
