# x y ex ey
36 0 0 0
36.5 0 0 0
37 0 0 0
37.5 1899.87 0 43.7126
38 4573.48 0 67.8391
38.5 6535.05 0 81.1572
39 9111.19 0 95.9286
39.5 11224.8 0 106.493
40 13906 0 118.616
40.5 16747 0 130.249
41 20240.9 0 143.398
41.5 23827.2 0 155.714
42 27807.9 0 168.375
42.5 31893.6 0 180.614
43 36388.5 0 192.986
43.5 41400.3 0 206.133
44 46682.5 0 219.025
44.5 53017.5 0 233.918
45 60187.5 0 251.003
