# x y ex ey
48 0 0 0
48.5 0 0 0
49 2.00877 0 1.42041
49.5 2896.48 0 54.0008
50 10000.4 0 100.518
50.5 13927.5 0 118.697
51 17831.7 0 134.423
51.5 22069.7 0 149.557
52 26086.5 0 162.936
52.5 30221.7 0 175.518
53 35279.1 0 189.843
53.5 39708.9 0 201.784
54 44408.5 0 213.581
54.5 49999.4 0 226.914
55 55186.3 0 238.855
55.5 60574.5 0 250.481
56 66603.5 0 262.926
56.5 73491 0 276.732
57 79087 0 287.462
57.5 86176.8 0 300.52
58 93201.3 0 313.102
