# x y ex ey
1 48464.1 0 223.216
3 47650.6 0 221.427
5 48120.5 0 222.485
7 48012.4 0 222.32
9 40913.7 0 204.83
11 5290.94 0 72.8971
13 2894.36 0 53.9145
15 2456.22 0 49.7044
17 1315.22 0 36.3797
19 1032.4 0 32.1998
21 955.353 0 30.9632
23 906.997 0 30.183
25 680.763 0 26.1061
27 134.888 0 11.6525
29 95.4799 0 9.79604
31 63.0771 0 7.94696
33 38.2066 0 6.19793
35 35.1975 0 5.94946
37 29.1545 0 5.41386
39 27.1159 0 5.21847
41 20.092 0 4.49271
43 9.03578 0 3.01193
45 3.01161 0 1.73875
47 2.00856 0 1.42027
49 1.00366 0 1.00366
51 0.998735 0 0.998735
53 0 0 0
