# x y ex ey
1 30543.4 0 176.554
3 30703.5 0 176.978
5 30733.4 0 177.056
7 30341.4 0 175.961
9 30700.6 0 176.988
11 30555.3 0 176.862
13 30563.4 0 176.314
15 26042.8 0 162.831
17 6879.01 0 83.2857
19 2616.83 0 51.3005
21 2686.14 0 51.9843
23 2698.33 0 52.113
25 2589.64 0 51.0329
27 2452.2 0 49.6841
29 2326.85 0 48.3711
31 2146.76 0 46.4715
33 2099.91 0 45.8785
35 1844.17 0 43.1689
37 1634.61 0 40.4751
39 1013.31 0 31.9005
41 359.93 0 19.0229
43 261.631 0 16.2257
45 259.218 0 16.1382
47 246.475 0 15.7147
49 231.992 0 15.2639
51 236.058 0 15.3987
53 209.041 0 14.4944
55 194.204 0 13.9791
57 188.764 0 13.7671
