# x y ex ey
1 40228.6 0 203.084
3 40278.2 0 203.327
5 40411.8 0 203.586
7 40539 0 203.997
9 40409.8 0 203.592
11 40213.9 0 203.036
13 37012 0 194.622
15 6097.04 0 78.406
17 3815.5 0 61.9608
19 3909.25 0 62.735
21 3794.04 0 61.8082
23 3536.28 0 59.7911
25 3406.74 0 58.6324
27 3106.63 0 55.914
29 2867.31 0 53.7002
31 2426.26 0 49.4025
33 1520.25 0 39.0967
35 626.868 0 25.0948
37 410.92 0 20.3187
39 432.983 0 20.8561
41 381.771 0 19.6362
43 343.841 0 18.5928
45 304.563 0 17.4967
47 275.211 0 16.6261
49 242.796 0 15.5754
51 261.738 0 16.1394
53 156.262 0 12.511
55 90.4079 0 9.52983
57 44.2166 0 6.6659
