# x y ex ey
1 8567.9 0 92.9976
3 8850.28 0 94.5486
5 8886.36 0 94.7128
7 8818.93 0 94.3755
9 8915.03 0 94.9052
11 8943.62 0 95.0481
13 8842.03 0 94.4121
15 8899.19 0 94.7473
17 8874.05 0 94.1972
19 7512.61 0 87.0505
21 2727.52 0 52.5789
23 501.957 0 22.4482
25 449.741 0 21.2483
27 461.308 0 21.532
29 475.529 0 21.8648
31 444.402 0 21.138
33 468.201 0 21.689
35 458.198 0 21.4571
37 429.615 0 20.7662
39 475.995 0 21.8632
41 417.121 0 20.4757
43 380.656 0 19.553
45 345.852 0 18.6471
47 83.4274 0 9.15735
49 36.3755 0 6.06258
51 42.172 0 6.50728
53 32.1342 0 5.68058
55 44.203 0 6.66385
57 22.2985 0 4.75406
