# x y ex ey
1 29192.3 0 172.512
3 28862 0 171.564
5 29071 0 172.06
7 29343.2 0 173.008
9 28917.2 0 171.686
11 28889.4 0 171.593
13 28641.8 0 170.89
15 28589.2 0 170.564
17 29086 0 172.167
19 28023.6 0 168.853
21 13340.3 0 116.156
23 2614.94 0 51.2635
25 8799.58 0 94.2278
27 2157.94 0 46.6045
29 1826.94 0 42.8713
31 1914.99 0 43.8751
33 1955.03 0 44.3525
35 1941.13 0 44.208
37 1858.16 0 43.2364
39 1919.77 0 43.9615
41 1903.41 0 43.7017
43 1853.14 0 43.1313
45 1767.28 0 42.1258
47 1866.11 0 43.3044
49 1833.86 0 42.904
51 1692.37 0 41.265
53 1251.73 0 35.4611
55 958.82 0 31.0592
