# Reference list of runs
#
#  ## Run Tag ## Run status ## board status  ## type of measurement ## board IV 1 ## board IV 2 ## board DCR 1 ## board DCR 2 ##
#
# Reference for NEW state
20230726-145220	bad	TEMP313	memmert-hama3-iv	31	32	.	.
20230726-152629	good	TEMP313	memmert-hama3-iv	31	32	.	.
20230726-222319	good	TEMP303	memmert-hama3-iv	31	32	.	.
20230727-073543	good	TEMP293	memmert-hama3-iv	31	32	.	.
20230727-094724	good	TEMP283	memmert-hama3-iv	31	32	.	.
20230727-120344	good	TEMP278	memmert-hama3-iv	31	32	.	.
20230727-143405	good	TEMP273	memmert-hama3-iv	31	32	.	.
20230727-164830	bad	TEMP263	memmert-hama3-iv	31	32	.	.
20230728-090450	good	TEMP253	memmert-hama3-iv	31	32	.	.
20230728-113150	good	TEMP263	memmert-hama3-iv	31	32	.	.
20230803-230333	good	TEMP303	memmert-hama3-iv	15	16	.	.
20230804-080319	good	TEMP253	memmert-hama3-iv	15	16	.	.
20230804-115503	bad	TEMP263	memmert-hama3-iv	15	16	.	.
20230805-121351	good	TEMP263	memmert-hama3-iv	15	16	.	.
20230805-143924	good	TEMP273	memmert-hama3-iv	15	16	.	.
20230805-165725	good	TEMP278	memmert-hama3-iv	15	16	.	.
20230805-222326	good	TEMP278	memmert-hama3-iv	15	16	.	.
20230806-065108	good	TEMP283	memmert-hama3-iv	15	16	.	.
20230806-085739	good	TEMP293	memmert-hama3-iv	15	16	.	.
