# x y ex ey
1 -nan 0 -nan
3 4366.65 0 66.3215
5 3617.1 0 60.3688
7 3619.04 0 60.3509
9 3609.29 0 60.2973
11 3675.89 0 60.8521
13 3587.32 0 60.073
15 3615.43 0 60.299
17 3670.97 0 60.7706
19 2449.98 0 49.8855
21 229.889 0 15.1915
23 148.599 0 12.2147
25 165.839 0 12.9106
27 166.707 0 12.939
29 159.808 0 12.6736
31 169.825 0 13.0635
33 151.191 0 12.3038
35 168.647 0 13.0114
37 139.734 0 11.8521
39 134.874 0 11.6513
41 54.2885 0 7.38772
43 17.087 0 4.1442
45 11.0506 0 3.33187
47 15.0814 0 3.894
49 12.0738 0 3.4854
51 14.0514 0 3.75538
53 14.0571 0 3.75693
55 5.05468 0 2.26052
57 12.0465 0 3.47752
59 9.03299 0 3.011
61 8.04255 0 2.84347
63 7.03071 0 2.65736
