# x y ex ey
1 -nan 0 -nan
3 15663.1 0 125.988
5 15591.6 0 125.666
7 15708.2 0 126.119
9 15805.4 0 126.524
11 15673.4 0 125.932
13 15620.4 0 125.685
15 15333.8 0 124.71
17 15622 0 125.73
19 15517.6 0 125.236
21 6706.64 0 82.1433
23 828.311 0 28.7858
25 805.426 0 28.4406
27 792.747 0 28.2404
29 779.866 0 27.9956
31 760.072 0 27.6435
33 717.564 0 26.873
35 766.954 0 27.7656
37 731.667 0 27.0247
39 702.094 0 26.5556
41 676.527 0 26.0782
43 498.555 0 22.3858
45 140.682 0 11.8898
47 55.2426 0 7.44892
49 43.1052 0 6.57348
51 42.146 0 6.50327
53 44.2212 0 6.66659
55 62.2609 0 7.90715
57 45.3991 0 6.7677
59 67.3306 0 8.22574
61 50.1895 0 7.09787
63 40.1803 0 6.35306
