# x y ex ey
1 1291.87 0 36.0384
3 1335.54 0 36.6485
5 1400.09 0 37.5263
7 1366.17 0 37.0591
9 1311.3 0 36.425
11 1378.1 0 37.2188
13 1334.44 0 36.6184
15 1338.24 0 36.6951
17 1326.5 0 36.594
19 1342.58 0 36.7451
21 1180.97 0 34.4524
23 242.841 0 15.6104
25 88.3806 0 9.4214
27 61.2819 0 7.84634
29 61.263 0 7.84392
31 61.2819 0 7.84634
33 75.3549 0 8.70123
35 64.8535 0 8.04409
37 69.2337 0 8.33476
39 49.2262 0 7.03231
41 75.9803 0 8.77344
43 55.2995 0 7.45658
45 63.3042 0 7.97558
47 66.2915 0 8.15992
49 34.0202 0 5.83441
51 15.1187 0 3.90364
53 8.05001 0 2.84611
55 10.0418 0 3.1755
57 5.98447 0 2.44315
