# x y ex ey
1 -nan 0 -nan
3 12396.8 0 111.901
5 11423.8 0 107.433
7 11345.3 0 107.017
9 11210.3 0 106.451
11 11254.8 0 106.581
13 11335.3 0 107.047
15 11333.2 0 106.998
17 11350.5 0 107.08
19 10678.9 0 103.708
21 2948.12 0 54.5201
23 616.882 0 24.8953
25 603.755 0 24.6277
27 593.401 0 24.4092
29 554.004 0 23.58
31 551.389 0 23.5327
33 563.444 0 23.7886
35 556.053 0 23.7102
37 551.672 0 23.5448
39 504.484 0 22.5162
41 426.169 0 20.6966
43 206.839 0 14.4112
45 42.2111 0 6.51331
47 34.1146 0 5.8506
49 38.1595 0 6.19028
51 40.1596 0 6.3498
53 34.1321 0 5.8536
55 33.118 0 5.7651
57 36.1362 0 6.0227
59 37.1514 0 6.10766
61 40.1886 0 6.35437
63 24.1353 0 4.9266
